CTR, t=1, c=2

0.5, 1.003    1.000+-4.3%, 1.003    1.122+-5.2%, 1.003    1.018+-4.1%, 1.006    1.105+-4.1%, 1.026    1.318+-5.5%, 1.041    1.463+-7.2%, 1.049    1.485+-5.1%, 1.063    1.487+-5.1%, 1.065    1.492+-4.9%, 1.069    1.499+-4.9%
0.1, 1.004    1.007+-5.1%, 1.004    1.127+-4.5%, 1.004    1.028+-4.1%, 1.007    1.132+-4.2%, 1.038    1.404+-5.7%, 1.065    1.562+-5.9%, 1.081    1.580+-4.5%, 1.115    1.605+-5.6%, 1.127    1.596+-4.9%, 1.137    1.593+-5.3%
0.05, 1.004    1.011+-5.4%, 1.004    1.131+-4.5%, 1.004    1.147+-5.5%, 1.008    1.250+-4.9%, 1.044    1.519+-6.4%, 1.070    1.586+-5.6%, 1.091    1.621+-4.5%, 1.070+-9.2%    0.052+-4.2%, 1.185+-3.1%    1.578+-1.6%, 1.181    1.617+-5.6%
0.03, 1.004    1.014+-4.1%, 1.006    1.154+-7.1%, 1.005    1.135+-4.9%, 1.008    1.257+-3.8%, 1.044    1.515+-5.1%, 1.073    1.585+-5.2%, 1.098    1.613+-5.8%, 1.154    1.640+-4.9%, 1.182    1.631+-5.3%, 1.214    1.613+-3.8%
0.01, 1.004    1.016+-3.3%, 1.005    1.132+-4.7%, 1.005    1.144+-4.4%, 1.009    1.255+-6.0%, 1.045    1.526+-4.5%, 1.078    1.594+-4.4%, 1.107    1.617+-5.1%, 1.180    1.648+-4.1%, 1.225    1.640+-5.7%, 1.285    1.613+-5.0%
0.005, 1.004    1.004+-3.6%, 1.004    1.137+-4.1%, 1.005    1.149+-4.6%, 1.009    1.262+-5.2%, 1.047    1.545+-5.0%, 1.078    1.597+-6.1%, 1.110    1.631+-5.1%, 1.191    1.634+-4.6%, 1.247    1.901+-4.9%, 1.325+-1.1%    1.884+-3.9%
0.001, 1.004    1.000+-4.9%, 1.005    1.131+-3.8%, 1.005    1.144+-5.5%, 1.009    1.252+-5.6%, 1.045    1.534+-5.0%, 1.078    1.602+-5.2%, 1.111    1.637+-5.6%, 1.201    1.646+-5.3%, 1.260+-0.6%    1.910+-4.8%, 1.359+-1.3%    1.866+-4.1%



CTR, t=64, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.008    1.000+-4.3%, 1.009    1.005+-4.8%, 1.009    1.013+-3.8%, 1.017    1.105+-4.7%, 1.063    1.230+-4.6%, 1.083    1.242+-5.0%, 1.407+-31.6%    0.984+-33.2%, 1.109    1.244+-4.7%, 1.113    1.240+-4.8%, 1.117    1.229+-5.9%
0.95, 1.008    0.998+-4.7%, 1.009    1.084+-4.5%, 1.010    1.082+-3.6%, 1.018    1.187+-4.8%, 1.066    1.302+-5.5%, 1.089    1.316+-4.7%, 1.102    1.312+-5.6%, 1.118    1.312+-5.0%, 1.123    1.319+-5.1%, 1.129    1.298+-3.3%
0.9, 1.009    0.997+-4.1%, 1.009    1.077+-4.7%, 1.010    1.015+-4.0%, 1.018    1.104+-4.5%, 1.065    1.220+-3.7%, 1.090    1.317+-4.7%, 1.104    1.315+-4.8%, 1.121    1.315+-4.7%, 1.129    1.289+-5.0%, 1.130    1.303+-5.0%
0.5, 1.010    0.996+-4.1%, 1.012    1.080+-4.2%, 1.011    1.003+-5.0%, 1.021    1.105+-3.7%, 1.075    1.236+-4.1%, 1.106    1.323+-4.7%, 1.123    1.324+-5.2%, 1.147    1.326+-3.9%, 1.151    1.325+-5.4%, 1.161    1.304+-6.3%
0.1, 1.013    0.995+-4.1%, 1.016    1.064+-6.2%, 1.015    1.002+-4.9%, 1.029    1.098+-4.4%, 1.097    1.266+-4.3%, 1.141    1.353+-4.6%, 1.189+-1.5%    1.348+-3.5%, 1.235    1.349+-4.6%, 1.258    1.335+-5.1%, 1.280    1.329+-4.6%
0.05, 1.014    0.971+-3.3%, 1.015    1.078+-4.9%, 1.017    1.083+-3.8%, 1.030    1.167+-5.8%, 1.104    1.337+-4.3%, 1.156    1.346+-4.2%, 1.192    1.349+-3.8%, 1.280    1.274+-2.3%, 1.309    1.317+-4.6%, 1.341    1.304+-4.8%
0.03, 1.016    0.954+-1.8%, 1.017    1.062+-4.7%, 1.017    1.067+-5.2%, 1.030    1.167+-2.4%, 1.105    1.334+-4.7%, 1.158    1.358+-4.3%, 1.203    1.328+-6.9%, 1.296    1.328+-4.2%, 1.343    1.317+-4.9%, 1.387    1.311+-4.7%
0.01, 1.022+-0.8%    0.934+-4.6%, 1.017    1.053+-3.9%, 1.017    1.068+-4.4%, 1.032    1.157+-6.5%, 1.111    1.328+-5.5%, 1.168    1.337+-4.6%, 1.214    1.349+-4.8%, 1.337    1.331+-4.8%, 1.387    1.308+-4.5%, 1.449+-0.7%    1.273+-4.5%
0.005, 1.016    0.925+-1.8%, 1.017    1.054+-4.3%, 1.018    1.063+-3.7%, 1.033    1.171+-4.5%, 1.111    1.324+-4.3%, 1.169    1.343+-5.6%, 1.218    1.346+-4.3%, 1.334+-0.9%    1.316+-5.2%, 1.406+-0.9%    1.401+-5.2%, 1.489+-0.9%    1.334+-8.9%
0.001, 1.016    0.917+-3.3%, 1.017    1.053+-3.1%, 1.018    1.058+-3.0%, 1.030    1.171+-4.8%, 1.114    1.266+-1.5%, 1.165    1.353+-4.9%, 1.224    1.342+-4.5%, 1.349    1.321+-4.6%, 1.420+-0.8%    1.383+-6.4%, 1.513+-1.0%    1.374+-4.7%



