RAND, t=1, c=2

1, 0.596    1.000+-4.6%, 0.596    0.965+-4.0%, 0.596    1.012+-3.9%, 0.596    1.084+-4.6%, 0.596    1.270+-3.6%, 0.596    1.305+-3.4%, 0.596    1.321+-4.1%, 0.596    1.355+-3.6%, 0.864+-44.0%    0.093+-10.3%, 0.596    1.370+-2.2%
0.95, 0.596    0.955+-5.2%, 0.596    0.955+-4.2%, 0.596    0.961+-4.7%, 0.596    1.045+-3.6%, 0.596    1.245+-3.7%, 0.596    1.306+-3.5%, 0.596    1.315+-3.6%, 0.596    1.360+-2.8%, 0.596    1.389+-2.8%, 0.596    1.404+-3.6%
0.9, 0.596    0.999+-5.5%, 0.596    0.962+-3.6%, 0.596    0.963+-4.8%, 0.596    1.041+-3.2%, 0.596    1.242+-4.0%, 0.596    1.306+-3.4%, 0.596    1.330+-2.8%, 0.596    1.357+-4.0%, 0.596    1.371+-4.4%, 0.596    1.389+-3.3%
0.5, 0.596    1.009+-3.9%, 0.596    0.957+-4.4%, 0.596    0.962+-4.7%, 0.596    1.053+-3.2%, 0.596    1.266+-3.1%, 0.596    1.340+-2.5%, 0.596    1.361+-3.2%, 0.596    1.413+-3.1%, 0.596    1.420+-3.4%, 0.596    1.449+-3.0%
0.1, 0.596    1.014+-4.6%, 0.596    0.972+-3.7%, 0.596    0.972+-4.7%, 0.596    1.060+-4.2%, 0.596    1.335+-2.7%, 0.596    1.437+-3.2%, 0.596    1.486+-2.8%, 0.596    1.563+-2.7%, 0.596    1.602+-2.8%, 0.596    1.622+-1.7%
0.05, 0.596    0.978+-4.1%, 0.596    0.972+-4.3%, 0.596    0.977+-4.5%, 0.596    1.063+-4.2%, 0.596    1.351+-3.5%, 0.596    1.457+-2.5%, 0.596    1.517+-1.9%, 0.596    1.621+-1.9%, 0.596    1.662+-1.8%, 0.596    1.715+-1.0%
0.03, 0.596    0.974+-5.4%, 0.596    0.971+-4.3%, 0.596    0.978+-4.7%, 0.596    1.064+-3.7%, 0.596    1.355+-3.5%, 0.596    1.467+-2.7%, 0.596    1.531+-2.4%, 0.596    1.632+-1.4%, 0.596    1.705+-1.5%, 0.596    1.769+-1.2%
0.01, 0.596    0.978+-4.7%, 0.596    0.974+-3.9%, 0.596    0.983+-4.1%, 0.596    1.066+-4.3%, 0.596    1.404+-1.1%, 0.596    1.466+-2.9%, 0.596    1.552+-2.2%, 0.596    1.691+-1.7%, 0.596    1.763+-0.8%, 0.596    1.863+-0.7%
0.005, 0.596    0.977+-4.8%, 0.596    1.019+-4.4%, 0.596    0.978+-4.4%, 0.596    1.100+-8.7%, 0.596    1.362+-2.9%, 0.596    1.489+-2.2%, 0.596    1.564+-2.3%, 0.596    1.712+-1.2%, 0.596    1.773+-1.3%, 0.596    1.912
0.001, 0.596    0.977+-4.5%, 0.596    1.015+-4.5%, 0.596    0.978+-4.7%, 0.596    1.062+-4.0%, 0.596    1.363+-3.1%, 0.596    1.494+-2.7%, 0.596    1.568+-2.1%, 0.596    1.727+-1.1%, 0.596    1.800+-1.0%, 0.596    2.006+-0.5%
